Ticker,Mean (ms),Median (ms),Min (ms),Max (ms)
BTCUSDT,134.81370326450892,134.0164794921875,99.156982421875,173.739990234375
ETHUSDT,132.81546456473214,130.3734130859375,95.39892578125,173.931884765625
BNBUSDT,117.42408970424107,113.6824951171875,79.061279296875,166.35205078125
XRPUSDT,121.03787667410714,109.889892578125,74.43994140625,215.263916015625
ADAUSDT,144.15778459821428,151.984130859375,77.205078125,220.781982421875
DOGEUSDT,121.05705915178571,115.58056640625,78.726806640625,165.3759765625
DOTUSDT,159.965576171875,161.1944580078125,77.4951171875,296.75390625
UNIUSDT,131.39144461495536,125.5994873046875,80.759033203125,166.271240234375
BCHUSDT,124.43831961495536,125.19384765625,89.1767578125,189.47998046875
LTCUSDT,165.52816336495536,150.12841796875,107.215087890625,272.62109375
LINKUSDT,116.91948590959821,114.9923095703125,76.85888671875,169.474853515625
XLMUSDT,156.38746861049108,137.1514892578125,84.5849609375,329.26611328125
THETAUSDT,138.32449776785714,142.072998046875,79.09423828125,238.489013671875
VETUSDT,161.2579345703125,143.1229248046875,91.81689453125,309.4267578125
ETCUSDT,134.19756208147322,128.714111328125,82.47705078125,205.077880859375
XMRUSDT,217.3251953125,145.637451171875,75.548095703125,533.3876953125
EOSUSDT,131.58724539620536,129.3419189453125,85.92724609375,184.585205078125
TRXUSDT,170.08372279575892,139.7889404296875,88.493896484375,478.724853515625
AAVEUSDT,135.96629115513392,133.8194580078125,94.34912109375,175.493896484375
FILUSDT,158.36976841517858,136.06689453125,79.317138671875,381.401123046875
XTZUSDT,141.65126255580358,127.70751953125,76.98388671875,271.202880859375
ALGOUSDT,204.07292829241072,154.2569580078125,71.6181640625,689.737060546875
COMPUSDT,157.11342075892858,147.306396484375,91.009033203125,290.144287109375
ATOMUSDT,132.08994838169642,126.232421875,82.622802734375,187.1533203125
NEOUSDT,156.46240234375,138.826416015625,83.156005859375,263.76611328125
MKRUSDT,155.54757254464286,121.93994140625,83.0732421875,474.127197265625
YFIUSDT,134.81110491071428,129.2244873046875,81.49169921875,285.680908203125
SNXUSDT,159.38307407924108,141.0159912109375,79.33984375,329.46923828125
CROUSDT,331.00679837740387,257.179931640625,102.77685546875,1083.39892578125
SOLUSDT,126.43436104910714,126.0115966796875,84.98291015625,165.8330078125
DASHUSDT,257.30733816964283,243.81298828125,95.093994140625,453.677001953125
ZECUSDT,172.49564034598214,149.655029296875,84.760986328125,405.98779296875
WAVESUSDT,229.663330078125,164.178466796875,97.68701171875,901.205078125
OMGUSDT,264.2531040736607,228.9205322265625,79.9140625,662.013916015625
HBARUSDT,150.14651925223214,137.6514892578125,93.189208984375,333.718017578125
KSMUSDT,163.40483747209822,156.194091796875,83.5791015625,263.2109375
EGLDUSDT,152.67091587611608,140.26953125,106.58349609375,315.12109375
RENUSDT,180.59715053013392,162.449951171875,92.5400390625,380.77294921875
ZILUSDT,219.22012765066964,175.48291015625,88.392822265625,564.07080078125
IOSTUSDT,167.68523297991072,128.0035400390625,77.279052734375,515.016845703125
SUSHIUSDT,142.66270228794642,121.988037109375,87.901123046875,426.258056640625
SXPUSDT,240.678955078125,183.2535400390625,87.210205078125,624.376708984375
ANKRUSDT,169.05791364397322,145.199951171875,83.3798828125,377.611083984375
CVCUSDT,360.87196568080356,264.2159423828125,106.40771484375,1360.71923828125
1INCHUSDT,212.35105678013392,184.4710693359375,82.160888671875,571.29150390625
LRCUSDT,262.41298130580356,191.3104248046875,130.238037109375,606.56982421875
SKLUSDT,128.80303083147322,119.2755126953125,80.001953125,231.85888671875
GRTUSDT,141.99989536830358,138.9088134765625,78.005126953125,262.922119140625
DGBUSDT,244.06586565290178,174.444580078125,74.8369140625,675.949951171875
SCUSDT,536.2755650111607,434.0634765625,77.363037109375,1771.68701171875
HOTUSDT,246.75885881696428,229.533447265625,149.2451171875,471.52685546875
DENTUSDT,304.7483607700893,156.260986328125,76.958984375,1139.5400390625
NKNUSDT,169.709228515625,142.7650146484375,92.063720703125,403.52294921875
LSKUSDT,288.26341029575894,198.6474609375,80.858154296875,597.827880859375
CELRUSDT,263.8156215122768,168.1444091796875,105.47900390625,1056.369140625
AKROUSDT,322.6234828404018,254.2685546875,85.501953125,1239.469970703125
STPTUSDT,201.41530198317307,146.717041015625,94.366943359375,605.240966796875
RLCUSDT,120.35032435825893,109.760986328125,83.971923828125,167.530029296875
MTLUSDT,175.95490373883928,164.6204833984375,76.464111328125,438.82421875
DODOUSDT,149.12217494419642,155.72998046875,84.72509765625,233.890869140625
TWTUSDT,157.73428780691964,131.9329833984375,76.877197265625,371.797119140625
LINAUSDT,157.5126953125,145.81494140625,78.58349609375,255.23486328125
AUDIOUSDT,225.50605119977678,212.2794189453125,86.712158203125,469.72900390625
